State,Year,Population,Rates-Burglary,Rates-Larceny,Rates-Motor,Rates-Assault,Rates-Murder,Rates-Rape,Rates-Robbery,Total-All,Total-Burglary,Total-Larceny,Totals-Motor,Total-All-V,Total-Assault,Total-Murder,Total-Rape,Total-Robbery
Alabama,2014,4849377,3177.6,819,2149.5,96.9,5.7,41.3,29.6,13745,154094,39715,104238,20727,4701,276,2005,1436
Alabama,2015,4858979,2978.9,725.6,2040.7,94.9,7.2,42,30,15954,144746,35255,99156,22952,4611,348,2039,1456
Alabama,2016,4863300,700.5,2006.3,241.1,388.2,8.4,39.4,96.4,143362,34065,97574,11723,25886,18877,407,1916,4686
Alabama,2017,4874747,645.7,2048.1,263.4,387.8,8.3,41.6,86.5,144160,31477,99842,12841,25551,18902,404,2028,4217
Alabama,2018,4887871,590.1,1958.9,268.3,387.6,7.8,40.8,83.4,137700,28841,95747,13112,25399,18944,383,1996,4076
Alabama,2019,4903185,531.9,1886.1,256.5,381,7.3,42.2,80.4,131133,26079,92477,12577,25046,18679,358,2068,3941
Alaska,2014,736732,2760,427.6,2096.4,85.4,5.6,104.7,75.3,3243,20334,3150,15445,4684,629,41,771,555
Alaska,2015,738432,2817.6,475.5,2065.1,103.1,8,122,88,3671,20806,3511,15249,5392,761,59,901,650
Alaska,2016,741894,546.3,2394.7,412.1,540.6,7,141.9,114.6,24876,4053,17766,3057,5966,4011,52,1053,850
Alaska,2017,739795,563.8,2402.7,575.6,575.4,8.4,116.7,128.5,26204,4171,17775,4258,6133,4257,62,863,951
Alaska,2018,737438,539.6,2219,541.9,595.4,6.4,161.6,121.5,24339,3979,16364,3996,6526,4391,47,1192,896
Alaska,2019,731545,487.1,2066,357.7,596,9.4,148.7,112.9,21294,3563,15114,2617,6343,4360,69,1088,826
Arizona,2014,6731484,3197.5,647.1,2289.1,92.8,4.7,50.2,36.6,16970,215240,43562,154091,26916,6249,319,3378,2464
Arizona,2015,6828065,3033.2,555.9,2231.5,93.1,4.5,45.5,33.6,18235,207107,37957,152365,28012,6360,309,3108,2294
Arizona,2016,6931071,544.4,2168.1,265.8,315.4,5.5,47.5,101.8,206432,37736,150275,18421,32583,21858,380,3290,7055
Arizona,2017,7016270,536.3,2107,271.6,345,5.9,51,106,204515,37627,147830,19058,35644,24207,416,3581,7440
Arizona,2018,7171646,439.7,1970.3,266.9,328.1,5.1,50.7,91,191974,31532,141303,19139,34058,23528,369,3638,6523
