State,Year,Population,Rates-Burglary,Rates-Larceny,Rates-Motor,Rates-Assault,Rates-Murder,Rates-Rape,Rates-Robbery,Total-All,Total-Burglary,Total-Larceny,Totals-Motor,Total-All-V,Total-Assault,Total-Murder,Total-Rape,Total-Robbery
Alabama,2005,4548327,955.8,2656,289,248.3,8.2,34.4,141.7,177393,43473,120780,13140,19678,11293,374,1564,6447
Alabama,2006,4599030,973.7,2640.8,326.5,227.5,8.3,35.8,153.6,181249,44780,121451,15018,19553,10463,382,1646,7062
Alabama,2007,4627851,980.6,2689.5,307.7,246.7,8.9,33.4,159.9,184082,45379,124465,14238,20775,11417,412,1548,7398
Alabama,2008,4661900,1081.3,2714.3,288.9,253,7.5,34.7,157.6,190416,50411,126539,13466,21110,11795,351,1618,7346
Alabama,2009,4708708,1037.3,2507.5,235.5,278.3,6.8,31.9,133.1,178007,48844,118072,11091,21194,13103,322,1504,6265
Alabama,2010,4785401,887.8,2414.9,225.3,248,5.7,28.3,101.6,168828,42484,115564,10780,18363,11869,275,1355,4864
Alabama,2011,4803689,1064.2,2319.3,222,282.9,6.2,28.5,102.1,173192,51119,111411,10662,20166,13591,299,1370,4906
Alabama,2012,4822023,984.7,2312.8,204.8,311.8,7.1,26.9,104.1,168878,47481,111523,9874,21693,15035,342,1296,5020
Alabama,2013,4833722,3351.3,877.8,2254.8,96.2,7.2,42.3,29.5,13787,161993,42429,108993,20826,4648,347,2044,1428
Alabama,2014,4849377,3177.6,819,2149.5,96.9,5.7,41.3,29.6,13745,154094,39715,104238,20727,4701,276,2005,1436
Alabama,2015,4858979,2978.9,725.6,2040.7,94.9,7.2,42,30,15954,144746,35255,99156,22952,4611,348,2039,1456
Alabama,2016,4863300,700.5,2006.3,241.1,388.2,8.4,39.4,96.4,143362,34065,97574,11723,25886,18877,407,1916,4686
Alabama,2017,4874747,645.7,2048.1,263.4,387.8,8.3,41.6,86.5,144160,31477,99842,12841,25551,18902,404,2028,4217
Alabama,2018,4887871,590.1,1958.9,268.3,387.6,7.8,40.8,83.4,137700,28841,95747,13112,25399,18944,383,1996,4076
Alabama,2019,4903185,531.9,1886.1,256.5,381,7.3,42.2,80.4,131133,26079,92477,12577,25046,18679,358,2068,3941
Alaska,2005,663253,622.8,2601,391,465.4,4.8,81.1,81,23975,4131,17249,2595,4194,3087,32,538,537
Alaska,2006,670053,620.1,2579.5,378.5,516.7,5.4,76.4,89.5,23975,4155,17284,2536,4610,3462,36,512,600
Alaska,2007,683478,546.3,2476.9,356,490.3,6.3,79.7,85,23096,3734,16929,2433,4520,3351,43,545,581
Alaska,2008,686293,471.7,2218.4,237.2,489,3.9,65.1,94,20090,3237,15225,1628,4475,3356,27,447,645
Alaska,2009,698473,515.4,2183.5,241.5,463.2,3.1,73.4,93.6,20538,3600,15251,1687,4424,3235,22,513,654
Alaska,2010,714146,434.8,2175.3,226.7,473.2,4.3,74.6,83.2,20259,3105,15535,1619,4537,3379,31,533,594
Alaska,2011,723860,394,2052.1,191.7,466.1,4.1,60.2,79.6,19094,2852,14854,1388,4416,3374,30,436,576
Alaska,2012,731449,403.3,2128,208.1,433.2,4.1,79.7,86.1,20037,2950,15565,1522,4412,3169,30,583,630
Alaska,2013,735132,2885.2,396.7,2258,84.9,4.6,125.4,87.6,3128,21210,2916,16599,4708,624,34,922,644
Alaska,2014,736732,2760,427.6,2096.4,85.4,5.6,104.7,75.3,3243,20334,3150,15445,4684,629,41,771,555
Alaska,2015,738432,2817.6,475.5,2065.1,103.1,8,122,88,3671,20806,3511,15249,5392,761,59,901,650
Alaska,2016,741894,546.3,2394.7,412.1,540.6,7,141.9,114.6,24876,4053,17766,3057,5966,4011,52,1053,850
Alaska,2017,739795,563.8,2402.7,575.6,575.4,8.4,116.7,128.5,26204,4171,17775,4258,6133,4257,62,863,951
Alaska,2018,737438,539.6,2219,541.9,595.4,6.4,161.6,121.5,24339,3979,16364,3996,6526,4391,47,1192,896
Alaska,2019,731545,487.1,2066,357.7,596,9.4,148.7,112.9,21294,3563,15114,2617,6343,4360,69,1088,826
