State,Year,Population,Rates-Burglary,Rates-Larceny,Rates-Motor,Rates-Assault,Rates-Murder,Rates-Rape,Rates-Robbery,All,Burglary,Larceny,Motor,Total-All-V,Assault,Murder,Rape,Robbery
Alabama,1960,3266740,355.9,592.1,87.3,138.1,12.4,8.6,27.5,33823,11626,19344,2853,6097,4512,406,281,898
Alabama,1961,3302000,339.3,569.4,76.8,128.9,12.9,7.6,19.1,32541,11205,18801,2535,5564,4255,427,252,630
Alabama,1962,3358000,349.1,634.5,83.4,119,9.4,6.5,22.5,35829,11722,21306,2801,5283,3995,316,218,754
Alabama,1963,3347000,376.9,683.4,90.6,142.1,10.2,5.7,24.7,38521,12614,22874,3033,6115,4755,340,192,828
Alabama,1964,3407000,466.6,784.1,108,163,9.3,11.7,29.1,46290,15898,26713,3679,7260,5555,316,397,992
Alabama,1965,3462000,473.7,812.1,106.9,149.1,11.4,10.6,28.7,48215,16398,28115,3702,6916,5162,395,367,992
Alabama,1966,3517000,527.5,869.6,131,177.7,10.9,9.7,32,53740,18551,30583,4606,8098,6249,384,341,1124
Alabama,1967,3540000,571.4,895,146,183.5,11.7,10.5,33,57079,20227,31682,5170,8448,6495,415,371,1167
Alabama,1968,3566000,628.2,967.7,170.7,168.5,11.8,11.1,41,62997,22403,34508,6086,8288,6009,421,396,1462
Alabama,1969,3531000,667.2,1037.8,171.2,181.7,13.7,14,41,66248,23559,36644,6045,8842,6415,485,494,1448
Alabama,1970,3444165,776.4,1184,223.5,215.2,11.7,18.5,50.3,75214,26739,40779,7696,10185,7413,404,637,1731
Alabama,1971,3479000,791.8,1173.9,221.2,219.7,15.1,19,57.6,76084,27547,40841,7696,10835,7645,524,661,2005
Alabama,1972,3510000,789.6,1096.7,195,211.7,14.1,18.8,68.6,73053,27714,38493,6846,10994,7431,496,660,2407
Alabama,1973,3539000,897.3,1107.8,227.2,236.3,13.2,21.2,79.4,78999,31754,39206,8039,12390,8362,468,751,2809
Alabama,1974,3577000,1057.9,1308.7,260.6,235.6,15,22.7,99.6,93976,37841,46813,9322,13338,8429,536,811,3562
Alabama,1975,3614000,1163.8,1645.5,270.3,233.5,16,20.4,123,111296,42059,59470,9767,14201,8440,577,738,4446
Alabama,1976,3665000,1170,1987.2,262.3,256,15.1,21.7,96,125325,42879,72832,9614,14248,9381,553,794,3520
Alabama,1977,3690000,1135.5,1881.9,280.7,278.3,14.2,25.2,96.8,121702,41901,69442,10359,15293,10268,524,929,3572
Alabama,1978,3742000,1229.3,1987.9,302.5,281.2,13.3,25.5,99.1,131707,46001,74387,11319,15682,10521,499,954,3708
Alabama,1979,3769000,1287.3,2223.2,320.1,263.1,13.2,27.5,109.5,144372,48517,83791,12064,15578,9918,496,1037,4127
Alabama,1980,3861466,1526.7,2642.2,316.2,273.2,13.2,30,132.1,173191,58952,102029,12210,17320,10551,509,1158,5102
Alabama,1981,3916000,1450.7,2693.3,284.2,306.1,11.9,26.1,126.5,173411,56811,105471,11129,18423,11985,465,1021,4952
Alabama,1982,3943000,1256.2,2656.4,273.3,299.1,10.6,26,112,165048,49531,104740,10777,17653,11793,417,1026,4417
